Date;veic_lt;veic_ln;veic_li;veic_prod;veic_exp;auto_lt;auto_ln;auto_li;auto_prod;auto_exp;comlev_lt;comlev_ln;comlev_li;comlev_prod;comlev_exp;cam_lt;cam_ln;cam_li;cam_prod;cam_exp;on_lt;on_ln;on_li;on_prod;on_exp
mar/05;149424;142943;6481;211944;60824;124462;120190;4272;180083;50951;16139;14229;1910;19138;6444;7368;7069;299;10200;2621;1455;1455;0;2523;808
abr/05;137667;130620;7047;197607;64250;114263;110106;4157;166151;53940;14898;12251;2647;19123;6835;7349;7106;243;9755;2187;1157;1157;0;2578;1288
mai/05;142978;135343;7635;207369;66443;119254;114969;4285;173971;55167;15811;12700;3111;20756;7473;6824;6585;239;9888;2714;1089;1089;0;2754;1089
jun/05;148491;140902;7589;213767;70611;123158;118755;4403;177562;58890;16634;13699;2935;22381;7793;7222;6971;251;10480;2802;1477;1477;0;3344;1126
jul/05;138744;132141;6603;199959;66537;115233;111298;3935;166328;53966;15282;12861;2421;22395;8668;6906;6659;247;8409;2704;1323;1323;0;2827;1199
ago/05;151626;144063;7563;210961;61881;126947;122117;4830;176427;50728;16398;13927;2471;21772;6869;6727;6466;261;9613;2907;1554;1553;1;3149;1377
set/05;144354;136583;7771;198855;65191;120986;116063;4923;164582;53288;15823;13218;2605;20932;7235;6455;6212;243;10963;3259;1090;1090;0;2378;1409
out/05;137710;130175;7535;182962;54205;116742;112013;4729;153363;43267;13874;11337;2537;17514;5895;5834;5566;268;9931;4004;1260;1259;1;2154;1039
nov/05;158440;149895;8545;206894;60404;136461;130726;5735;173545;47008;14501;11903;2598;20971;8248;6094;5882;212;10089;3995;1384;1384;0;2289;1153
dez/05;183642;172298;11344;194561;62442;158014;149395;8619;168477;51613;17427;14970;2457;17088;6675;6606;6338;268;7458;3070;1595;1595;0;1538;1084
jan/06;132890;125923;6967;183640;46126;112698;107631;5067;157022;38453;13129;11507;1622;18671;5428;5858;5580;278;6052;1441;1205;1205;0;1895;804
fev/06;127881;122236;5645;190099;55734;108543;104518;4025;162367;46793;12944;11632;1312;17686;5836;4980;4674;306;7701;2513;1414;1412;2;2345;592
mar/06;156788;149545;7243;212794;55795;130987;126290;4697;177645;45789;17240;14981;2259;22126;5912;6617;6330;287;9893;3067;1944;1944;0;3130;1027
abr/06;131150;123138;8012;184761;51986;109730;104300;5430;154730;42754;14727;12383;2344;19571;5518;5370;5134;236;7744;3143;1323;1321;2;2716;571
mai/06;164132;152725;11407;219343;55038;138012;129669;8343;181583;43273;17544;14708;2836;24675;7670;6603;6376;227;9729;3278;1973;1972;1;3356;817
jun/06;148384;137192;11192;205415;51832;124537;116281;8256;173662;42385;16335;13642;2693;20225;5532;5817;5574;243;8699;3013;1695;1695;0;2829;902
jul/06;165807;153830;11977;202943;58082;141222;132414;8808;169180;45924;16757;13877;2880;21598;8005;6137;5848;289;9066;3147;1691;1691;0;3099;1006
ago/06;178508;164614;13894;221843;50432;150845;140862;9983;188344;40155;19089;15522;3567;20759;5750;6887;6544;343;9635;3193;1687;1686;1;3105;1334
