id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
46941330,Appartement très cosy et vert,157597252,Jessica,,Commune de Genève,46.19436,6.14704,Entire home/apt,79,1,0,,,1,0,0,
46996007,Chambre avec salle de bain privée au coeur de gva,16075017,Yolanda,,Commune de Genève,46.19731,6.14113,Private room,45,5,0,,,1,73,0,
47007972,Appartement (90m2) en plein centre-ville !,3015470,Flora,,Commune de Genève,46.20919,6.13899,Entire home/apt,145,1,7,2021-10-11,0.57,2,0,6,
47008191,Chambre en plein centre-ville !,3015470,Flora,,Commune de Genève,46.20866,6.13926,Private room,60,3,7,2021-10-22,0.57,2,141,6,
47024348,Great apart Geneva center Plainpalais Carouge,118735300,Grant,,Commune de Genève,46.18825,6.14591,Entire home/apt,100,1,52,2021-12-12,4.29,16,356,52,
47060577,Studio Geneva Downtown,14110093,Lory,,Commune de Genève,46.20154,6.15542,Entire home/apt,69,1,0,,,2,0,0,
47110428,✦✦✦ Au cœur de la campagne Genevoise ✦✦✦,229697118,Benjamin Et Philibert,,Meinier,46.2461,6.23526,Entire home/apt,147,3,4,2021-10-19,0.33,6,361,4,
47164550,Two Bedroom Spacious Loft in Heart of Geneva,19829151,Rasmus,,Commune de Genève,46.2043,6.13718,Entire home/apt,150,2,2,2021-08-15,0.41,1,0,2,
47282869,Bord de lac au calme.,14644634,Claire,,Versoix,46.27738,6.17013,Entire home/apt,100,3,0,,,1,0,0,
47314078,"Geneva, Carouge, 40M²",22769065,Rusudan,,Carouge,46.18814,6.13749,Entire home/apt,80,7,0,,,1,0,0,
47345089,BRIGHT FURNISHED APARTMENT IN CHAMPEL,273734321,Homenhancement SA,,Commune de Genève,46.19551,6.15479,Entire home/apt,132,28,0,,,124,0,0,
47347966,Central Geneva modern cosy studio with balcony,53149378,Samuel,,Commune de Genève,46.21397,6.14893,Entire home/apt,90,2,0,,,1,0,0,
47355980,Great apart Geneva center 50m from Rhone JonctionA,118735300,Grant,,Commune de Genève,46.20148,6.12865,Entire home/apt,76,1,40,2021-12-11,3.35,16,338,40,
47402781,Studio Genève tout équipé douane de Moillesulaz,341261677,Marlon,,Thônex,46.18933,6.20351,Entire home/apt,58,1,33,2021-11-28,6.11,2,325,33,
47422317,Great apart Geneva center 150m from Rhone Jonction,118735300,Grant,,Commune de Genève,46.20104,6.13048,Entire home/apt,78,1,54,2021-12-12,4.58,16,361,54,
